Kanji that contain themselves as a radical
==================================================

Total: 240 kanji

Kanji with 1 radical: 133 kanji
----------------------------------------
一 → 一
丶 → 丶
乙 → 乙
九 → 九
亅 → 亅
二 → 二
亠 → 亠
人 → 人
儿 → 儿
入 → 入
冂 → 冂
冖 → 冖
冫 → 冫
几 → 几
凵 → 凵
刀 → 刀
刂 → 刂
力 → 力
勹 → 勹
匕 → 匕
匚 → 匚
十 → 十
卜 → 卜
卩 → 卩
厂 → 厂
厶 → 厶
又 → 又
土 → 土
士 → 士
夕 → 夕
大 → 大
女 → 女
子 → 子
宀 → 宀
寸 → 寸
小 → 小
尢 → 尢
尸 → 尸
屮 → 屮
山 → 山
巛 → 巛
川 → 川
工 → 工
已 → 已
幺 → 幺
广 → 广
廴 → 廴
廾 → 廾
弋 → 弋
弓 → 弓
彡 → 彡
彳 → 彳
心 → 心
忄 → 忄
戈 → 戈
手 → 手
扌 → 扌
攵 → 攵
文 → 文
斗 → 斗
斤 → 斤
方 → 方
无 → 无
日 → 日
曰 → 曰
月 → 月
木 → 木
止 → 止
歹 → 歹
比 → 比
毛 → 毛
氏 → 氏
气 → 气
水 → 水
氵 → 氵
火 → 火
灬 → 灬
爪 → 爪
父 → 父
爻 → 爻
爿 → 爿
片 → 片
牙 → 牙
牛 → 牛
犭 → 犭
王 → 王
甘 → 甘
生 → 生
用 → 用
田 → 田
疋 → 疋
疒 → 疒
癶 → 癶
白 → 白
皿 → 皿
目 → 目
礻 → 礻
立 → 立
竹 → 竹
米 → 米
罒 → 罒
而 → 而
耳 → 耳
聿 → 聿
自 → 自
臼 → 臼
舟 → 舟
艮 → 艮
虫 → 虫
衤 → 衤
西 → 西
言 → 言
豕 → 豕
豸 → 豸
身 → 身
車 → 車
酉 → 酉
里 → 里
金 → 金
長 → 長
門 → 門
隹 → 隹
雨 → 雨
非 → 非
面 → 面
韭 → 韭
飛 → 飛
食 → 食
馬 → 馬
鬥 → 鬥
黽 → 黽
辶 → 辶
𠆢 → 𠆢

Kanji with 2 radicals: 29 kanji
----------------------------------------
亡 → 亡, 亠
口 → 囗, 口
品 → 口, 品
囗 → 囗, 口
夂 → 夂, 攵
巨 → 匚, 巨
彑 → ヨ, 彑
毋 → 母, 毋
母 → 母, 毋
瓜 → 瓜, 厶
瓦 → 瓦, 一
皮 → 皮, 又
矛 → 矛, マ
石 → 口, 石
羽 → 羽, 冫
臣 → 臣, 匚
舌 → 口, 舌
舛 → 舛, 夕
血 → 血, 皿
行 → 行, 彳
衣 → 衣, 亠
赤 → 赤, 土
走 → 走, 土
足 → 口, 足
釆 → 釆, 米
韋 → 韋, 口
鳥 → 鳥, 灬
麦 → 麦, 夂
鼠 → 臼, 鼠

Kanji with 3 radicals: 42 kanji
----------------------------------------
世 → ｜, 一, 世
久 → ノ, 入, 久
五 → 一, 二, 五
元 → 二, 儿, 元
勿 → ノ, 勹, 勿
及 → 丶, 及, 乃
尤 → 丶, 尢, 尤
巴 → 乙, 已, 巴
巾 → 巾, 冂, ｜
干 → 干, 十, 一
戸 → 戸, 一, 尸
支 → 支, 十, 又
欠 → 欠, 勹, 人
殳 → 殳, 几, 又
犬 → 犬, 大, 丶
玄 → 玄, 亠, 幺
示 → 示, 二, 小
禸 → 冂, 厶, 禸
禾 → 禾, 木, ノ
